Scheme Name,Description,Target Beneficiaries,Category,Launch Year
PM Kisan Samman Nidhi,"Income support of 6,000 annually to farmers.",farmers,Agriculture,2019
Ayushman Bharat,Health insurance coverage up to 5 lakh per family per year.,economically weaker sections,Health,2018
PM Mudra Yojana,Collateral-free loans for small businesses.,entrepreneurs ,MSME,2015
Stand-Up India,Loans for SC/ST and women entrepreneurs.,entrepreneurs,Entrepreneurship,2016
PM Awas Yojana,Affordable housing for all by 2024.,economically weaker sections,Housing,2015
Skill India Mission,Vocational training and skill development programs.,working Professionals,Education/Employment,2015
PM Garib Kalyan Ann Yojana,Free food grains for low-income families.,economically weaker sections,Food Security,2020
Beti Bachao Beti Padhao,Promotes education and welfare of the girl child.,social worker,Social Welfare,2015
Digital India,Promotes digital infrastructure and services.,entrepreneurs ,Technology,2015
Jan Dhan Yojana,Financial inclusion through bank accounts.,economically weaker sections,Finance,2014
Make in India,Boosting manufacturing and industrial sectors.,entrepreneurs ,Industrial Development,2014
Startup India,Encouraging entrepreneurship and startups.,entrepreneurs,Entrepreneurship,2016
Swachh Bharat Abhiyan,Clean India campaign for sanitation.,Social Worker,Sanitation,2014
National Rural Health Mission,Improving rural healthcare services.,social worker,Health,2005
Atal Pension Yojana,Pension scheme for unorganized sector workers.,unorganized workers,Social Welfare,2015
Pradhan Mantri Suraksha Bima Yojana,Accidental insurance for citizens.,general public,Insurance,2015
Pradhan Mantri Jeevan Jyoti Bima Yojana,Life insurance for citizens.,General public,Insurance,2015
Rashtriya Krishi Vikas Yojana,Boosting agriculture and rural development.,farmers,Agriculture,2007
Kisan Credit Card Scheme,Credit access to farmers for agricultural needs.,farmers,Finance,1998
Mission Indradhanush,Immunization for children and pregnant women.,children and pregnant women,Health,2014
Sarva Shiksha Abhiyan,Universal elementary education.,students,Education,2001
Mid-Day Meal Scheme,Free meals for children in government schools.,students,Education,1995
PMEGP (Prime Minister's Employment Generation Programme),Generating self-employment opportunities.,unemployed ,Employment,2008
Pradhan Mantri Kaushal Vikas Yojana,Skill certification and employment opportunities.,unemployed ,Employment,2015
National Social Assistance Programme,"Social welfare for the elderly, disabled, and widows.","elderly, disabled, and widows",Social Welfare,1995
Deen Dayal Upadhyaya Gram Jyoti Yojana,Providing rural electrification.,rural development,Infrastructure,2014
Pradhan Mantri Gram Sadak Yojana,Connecting rural areas with better roads.,rural development,Infrastructure,2000
Integrated Child Development Services (ICDS),Supplementary nutrition for children and mothers.,children and mothers,Nutrition,1975
Rashtriya Bal Swasthya Karyakram,Healthcare services for children under 18.,students,Health,2013
PM Fasal Bima Yojana,Crop insurance for farmers.,farmers,Agriculture,2016
Soil Health Card Scheme,Information on soil nutrient status.,farmers,Agriculture,2015
National Food Security Mission,Ensuring food security through agricultural development.,farmers,Agriculture,2007
Rashtriya Madhyamik Shiksha Abhiyan,Improving secondary education.,ftudents,Education,2013
National Handloom Development Programme,Development of the handloom sector.,working professionals,Handicrafts,2016
PM Ujjwala Yojana,Subsidized LPG connections for poor households.,economically weaker sections,Social Welfare,2019
PM Shram Yogi Maan-Dhan,Pension scheme for unorganized workers.,unorganized workers,Social Welfare,2019
PM Kisan Maandhan Yojana,Pension scheme for small farmers.,farmers,Agriculture,2015
PM Krishi Sinchai Yojana,Irrigation and water resource management.,farmers,Social Welfare,2021
E-Shram Portal,Unified portal for unorganized workers.,unorganized workers,Agriculture,2014
Mission for Integrated Development of Horticulture,Development of the horticulture sector., farmers,Education,2021
PM Poshan,Free meals in schools to address malnutrition.,students,Women Empowerment,1993
National Mission on Agricultural Extension and Technology,Extending agricultural technologies to farmers.,farmers,Entrepreneurship,2016
Stand Up India,Financial assistance for entrepreneurs.,entrepreneurs ,Employment,2020
PM SVANidhi Scheme,Micro-credit for street vendors.,entrepreneurs ,,2011
DAY-NRLM (Deendayal Antyodaya Yojana-National Rural Livelihoods Mission),Self-employment programs for rural households.,social worker,,
